Price	Open	High	Low	Close	Volume
Ticker	ABBV	ABBV	ABBV	ABBV	ABBV
Date					
2024-02-07	167.89403389880346	169.3895587142177	167.2282978199283	168.85888671875	6409100
2024-02-08	168.22208360030984	169.72725154141236	168.17383801809817	168.6466064453125	5709100
2024-02-09	168.91675725680344	169.235145669401	166.9677508189555	167.9615478515625	3502700
2024-02-12	167.44052776220425	168.6176492106778	166.17657310584744	166.987060546875	3477100
2024-02-13	168.32821622800353	169.04219783630862	165.92572759489423	167.19932556152344	5480400
2024-02-14	166.9773963716472	168.71413407697264	166.61074765538876	168.2895965576172	4348500
2024-02-15	167.9036675658859	170.52806803437858	167.7010420251087	170.38333129882812	5276200
2024-02-16	170.67279148227337	172.63144126215732	169.88161993338372	171.251708984375	6689400
2024-02-20	169.65005069987643	172.39987204018794	169.3509487207796	169.57286071777344	5484100
2024-02-21	170.0938734051005	170.42193450717357	167.40194089114152	168.9842987060547	3819100
2024-02-22	168.6369586740179	171.10697930286173	167.0546007885096	170.5377197265625	4852300
2024-02-23	171.0297826825018	172.62179845591803	170.78856950978576	171.8306121826172	3941800
2024-02-26	172.5542739965109	173.47088122677005	171.74380116485978	172.52532958984375	4327400
2024-02-27	172.48670585658314	173.21998854282975	170.75961143363878	172.698974609375	3888500
2024-02-28	173.52875773376377	173.567345362481	170.6727873667384	171.7437744140625	4331300
2024-02-29	171.61834419598384	171.76308093376417	169.2255136340166	169.86231994628906	7485700
2024-03-01	169.86231641431164	172.89195322555554	169.5728576672535	172.62179565429688	4028700
2024-03-04	172.08149044977978	173.65419038990106	170.08423822996895	170.82717895507812	4723600
2024-03-05	171.54116357464724	173.27790146539857	171.54116357464724	172.86302185058594	5309800
2024-03-06	172.12971630429433	175.7575718895022	171.84027227141829	174.69622802734375	6047100
2024-03-07	175.78650628551486	176.00841827224798	173.22963793495887	174.22344970703125	6125200
2024-03-08	173.4226374202154	175.73827811566744	172.3998811451982	172.5639190673828	6195600
2024-03-11	172.13939146849663	174.88921311320192	171.97536825930246	173.31651306152344	5134800
2024-03-12	173.40332171703812	176.4619028910779	173.37437731495598	174.56114196777344	5391100
2024-03-13	176.08563238161733	176.09527560932446	173.11388405198554	173.53842163085938	5987900
2024-03-14	173.82787371208832	175.6417868576369	172.3805945975899	174.83131408691406	6999400
2024-03-15	173.51910906184688	174.23310537239755	171.29994486863419	171.6280059814453	20957800
2024-03-18	172.7182655061736	173.55769731290047	171.32889007371267	172.216552734375	8569000
2024-03-19	171.92710904515715	173.6059433605743	171.92710904515715	173.34544372558594	7625600
2024-03-20	172.92091291877315	172.93055614628386	169.55357148445256	170.07460021972656	7326600
2024-03-21	170.59560182711607	171.49292248484323	169.6982958918726	171.2613525390625	5743600
2024-03-22	171.00084177214103	172.69899196513512	170.56666099688104	172.17796325683594	4084000
2024-03-25	172.70863943360686	172.9016070359632	171.8692222659905	172.25515747070312	4366400
2024-03-26	172.93054014360524	173.4515688306642	172.1104242065434	172.89195251464844	4392400
2024-03-27	173.48051278009095	174.23309668389274	172.52530333796557	174.0111846923828	5073500
2024-03-28	174.63833269119613	175.89264410253566	173.96293876893128	175.69967651367188	5418700
2024-04-01	175.48741383440787	175.5067002882247	172.9402032946219	174.40676879882812	3502100
2024-04-02	173.08493711683545	174.66729506429485	172.23586197149655	174.33924865722656	4523800
2024-04-03	174.36818597048338	175.2172610812886	170.3929974471395	171.0973358154297	5893000
2024-04-04	171.40607795582878	171.4543235358012	161.5645832633023	161.99876403808594	10539000
2024-04-05	162.09524284811582	165.02838838366546	161.41019099866287	164.0249481201172	7029700
2024-04-08	163.26272593463665	165.9257139901399	162.4811829090428	163.8319854736328	4745000
2024-04-09	163.76445627000777	164.55564260694538	161.51634755277598	164.16004943847656	5934000
2024-04-10	162.66449753137036	163.98635561465986	161.477732946686	163.0890350341797	3231700
